Brand,Material,Size,Compartments,Laptop Compartment,Waterproof,Style,Color,Weight Capacity (kg),Price
Adidas,Canvas,Medium,4,No,Yes,Backpack,Red,29.56572318,75.6267206
Adidas,Nylon,Large,10,Yes,No,Tote,Green,19.04619024,82.40419534
Adidas,Leather,Medium,4,Yes,Yes,Backpack,Red,12.06771776,122.6297036
Adidas,Canvas,Medium,4,Yes,Yes,Tote,Black,8.433286206,142.9156598
Adidas,Polyester,Medium,9,Yes,Yes,Tote,Gray,8.271755291,116.7898899
Adidas,Nylon,Small,2,Yes,No,Tote,Red,29.01474228,56.41545983
Adidas,Leather,Small,5,Yes,No,Backpack,Pink,23.5888194,101.3127204
Adidas,Polyester,Large,9,Yes,No,Backpack,Green,13.35252144,133.9502951
Adidas,Polyester,Large,5,Yes,Yes,Messenger,Blue,15.23566494,72.17780816
Adidas,Leather,Small,1,Yes,Yes,Messenger,Red,8.88770994,58.19825185
Adidas,Canvas,Medium,10,Yes,No,Tote,Gray,6.197355181,80.07419769
Adidas,Canvas,Medium,6,No,No,Backpack,Red,23.17760023,52.71053602
Adidas,Nylon,Large,5,No,No,Tote,Pink,18.08777278,115.8560644
Adidas,Polyester,Small,5,No,Yes,Tote,Blue,29.48483401,150
Adidas,Canvas,Small,7,No,No,Messenger,Gray,22.98633139,47.4867702
Adidas,Leather,Large,10,No,No,Tote,Gray,19.9086339,135.6080712
Adidas,Polyester,Large,6,Yes,No,Tote,Blue,21.37986779,150
Adidas,Canvas,Large,7,No,No,Backpack,Pink,22.85110168,25.85213223
Adidas,Canvas,Large,6,Yes,Yes,Tote,Pink,18.32654142,116.7082286
Adidas,Nylon,Large,4,Yes,Yes,Tote,Gray,14.45888891,28.43553152
Adidas,Canvas,Large,7,No,No,Messenger,Pink,12.8057809,83.27307586
Adidas,Leather,Large,10,Yes,Yes,Backpack,Green,15.0096842,61.86528862
Adidas,Polyester,Large,3,No,No,Messenger,Green,17.8108158,98.7920835
Adidas,Polyester,Large,4,No,Yes,Messenger,Pink,29.3327665,58.05008453
Adidas,Polyester,Large,5,No,Yes,Messenger,Gray,8.768838351,17.30808555
Adidas,Canvas,Medium,9,Yes,Yes,Messenger,Gray,24.35889227,44.96009647
Adidas,Canvas,Medium,6,No,No,Messenger,Red,27.61174996,133.9495469
Adidas,Canvas,Medium,6,No,No,Backpack,Green,7.02891532,112.7191944
Adidas,Nylon,Small,7,Yes,No,Backpack,Pink,18.73947851,39.02767818
Adidas,Leather,Small,8,No,No,Backpack,Red,25.7295594,32.1651972
Adidas,Canvas,Large,4,Yes,No,Backpack,Green,12.82476962,36.52152841
Adidas,Polyester,Large,9,No,Yes,Tote,Black,26.08591803,61.99946822
Adidas,Nylon,Medium,7,No,No,Messenger,Pink,14.90715738,112.893351
Adidas,Leather,Medium,5,No,No,Backpack,Pink,19.98010358,96.05420935
Adidas,Canvas,Small,7,No,No,Backpack,Green,9.144472028,117.1814805
Adidas,Polyester,Small,4,No,No,Tote,Pink,7.759893162,102.115124
Adidas,Canvas,Medium,2,No,No,Tote,Black,7.001327255,81.07959383
Adidas,Canvas,Large,8,No,Yes,Tote,Black,29.99798577,110.7815733
Adidas,Leather,Large,5,Yes,Yes,Tote,Black,19.48027465,140.4835527
Adidas,Polyester,Small,2,Yes,Yes,Messenger,Gray,27.05380569,89.20994917
Adidas,Canvas,Medium,4,No,Yes,Backpack,Black,10.38751802,48.21504728
Adidas,Polyester,Small,10,No,Yes,Tote,Pink,26.55769383,41.89919691
Adidas,Polyester,Small,8,No,No,Messenger,Green,29.94668208,92.80473621
Adidas,Polyester,Small,2,No,Yes,Tote,Black,27.69005533,150
Adidas,Polyester,Small,8,No,Yes,Tote,Black,17.30560147,104.7678952
Adidas,Leather,Large,4,Yes,Yes,Messenger,Black,6.92114762,119.9543558
Adidas,Leather,Medium,1,Yes,Yes,Messenger,Red,9.077258582,87.21995754
Adidas,Polyester,Medium,7,Yes,No,Tote,Pink,18.15993382,114.3670858
Adidas,Nylon,Small,7,No,No,Messenger,Gray,27.24260906,116.350031
Adidas,Leather,Small,8,Yes,Yes,Messenger,Green,29.02453567,117.3054015
Adidas,Canvas,Large,8,Yes,No,Messenger,Green,6.604958515,80.01126405
Adidas,Nylon,Large,9,No,Yes,Messenger,Pink,8.501723282,79.67132076
Adidas,Canvas,Medium,4,Yes,Yes,Tote,Gray,9.838328617,81.60250117
Adidas,Polyester,Large,8,Yes,No,Tote,Blue,11.17493395,74.78212644
Adidas,Polyester,Medium,3,No,Yes,Backpack,Blue,13.79236497,150
Adidas,Polyester,Small,8,No,No,Backpack,Red,14.89320889,136.9140439
Adidas,Canvas,Small,6,No,No,Backpack,Blue,11.72843784,51.66571165
Adidas,Canvas,Small,8,No,Yes,Tote,Green,8.495398529,125.6409621
Adidas,Leather,Small,10,No,No,Backpack,Blue,24.64899839,139.8083573
Adidas,Nylon,Small,2,No,No,Tote,Gray,20.19600138,73.52166708
Adidas,Polyester,Large,5,No,Yes,Backpack,Gray,9.066785664,24.32178385
Adidas,Canvas,Small,3,No,Yes,Backpack,Green,15.47016699,51.29060984
Adidas,Leather,Large,9,Yes,Yes,Messenger,Blue,21.87354831,117.4809956
Adidas,Leather,Medium,10,Yes,Yes,Messenger,Black,9.014864617,131.1918199
Adidas,Leather,Large,10,Yes,No,Backpack,Black,5,136.1174871
Adidas,Leather,Large,6,Yes,Yes,Backpack,Pink,22.96907516,71.177282
Adidas,Polyester,Large,1,Yes,Yes,Tote,Red,12.81615626,73.05470242
Adidas,Canvas,Small,6,No,No,Tote,Red,13.72390353,52.88536961
Adidas,Canvas,Small,9,No,Yes,Backpack,Blue,23.1126958,30.66920455
Adidas,Polyester,Medium,4,Yes,Yes,Backpack,Green,12.04173182,150
Adidas,Polyester,Large,2,No,Yes,Messenger,Blue,23.67217808,32.42256606
Adidas,Leather,Large,5,No,No,Messenger,Blue,25.32060388,90.13108792
Adidas,Canvas,Small,4,Yes,No,Tote,Green,28.08820458,97.31792078
Adidas,Leather,Medium,2,No,Yes,Tote,Blue,17.09776314,100.544743
Adidas,Nylon,Medium,3,No,Yes,Messenger,Pink,13.98137496,86.34530503
Adidas,Polyester,Large,8,No,Yes,Tote,Pink,8.308344562,84.84696281
Adidas,Polyester,Medium,4,Yes,Yes,Tote,Gray,17.67605326,128.0638947
Adidas,Polyester,Medium,4,No,No,Messenger,Blue,28.85216205,122.1635879
Adidas,Polyester,Medium,5,Yes,No,Backpack,Red,20.93543135,46.80636248
Adidas,Polyester,Small,8,No,No,Messenger,Red,23.12159038,84.3553956
Adidas,Canvas,Small,6,No,Yes,Tote,Red,19.30414486,57.2698315
Adidas,Canvas,Small,5,No,No,Tote,Green,10.58155008,30.18426741
Adidas,Leather,Large,4,No,No,Messenger,Black,7.076464346,140.297844
Adidas,Leather,Medium,3,No,No,Tote,Gray,10.73595035,25.8318214
Adidas,Canvas,Medium,10,Yes,No,Tote,Green,6.510490452,39.44022697
Adidas,Polyester,Small,2,No,Yes,Messenger,Green,17.11785205,70.78519117
Adidas,Canvas,Medium,10,Yes,No,Messenger,Red,14.31168146,101.4543846
Adidas,Polyester,Large,2,Yes,Yes,Tote,Red,11.50551087,60.52535893
Adidas,Leather,Large,10,Yes,Yes,Messenger,Green,16.91689175,60.63209595
Adidas,Leather,Large,7,No,Yes,Tote,Pink,14.22055169,139.7856928
Adidas,Leather,Medium,5,No,Yes,Tote,Green,22.85557641,126.0729239
Adidas,Polyester,Medium,7,Yes,Yes,Tote,Blue,17.70784579,127.4208784
Adidas,Polyester,Medium,2,Yes,Yes,Messenger,Gray,30,136.7694596
Adidas,Canvas,Medium,4,No,No,Backpack,Pink,27.00057431,93.74070893
Adidas,Canvas,Medium,9,No,Yes,Backpack,Red,24.22209002,92.93874392
Adidas,Polyester,Small,10,Yes,No,Messenger,Red,11.6650718,39.7132639
Adidas,Leather,Medium,4,Yes,No,Tote,Green,12.33588917,74.43616975
Adidas,Polyester,Large,8,Yes,No,Backpack,Green,22.55865158,63.8099717
Adidas,Polyester,Medium,5,Yes,No,Tote,Black,25.00699089,15.15890715
Adidas,Nylon,Small,8,No,No,Messenger,Black,22.85122088,27.85988243
Adidas,Nylon,Medium,10,No,No,Backpack,Green,23.20596801,64.99845343
Adidas,Leather,Small,2,No,No,Tote,Blue,5,130.2392006
Adidas,Leather,Medium,2,No,Yes,Backpack,Green,24.90312711,65.51835448
Adidas,Canvas,Small,7,No,No,Backpack,Gray,12.57648113,66.46501627
Adidas,Nylon,Small,8,Yes,No,Backpack,Red,30,98.63383108
Adidas,Canvas,Large,2,No,No,Backpack,Gray,27.47183657,76.23313862
Adidas,Canvas,Medium,4,Yes,No,Tote,Black,25.88402491,32.77937708
Adidas,Leather,Small,6,Yes,No,Backpack,Gray,26.64593531,74.77962056
Adidas,Canvas,Medium,8,No,No,Tote,Gray,28.96835916,116.7798641
Adidas,Polyester,Medium,7,Yes,Yes,Messenger,Red,21.42441338,117.4803903
Adidas,Leather,Large,2,No,Yes,Backpack,Gray,28.69535381,118.1809165
Adidas,Polyester,Large,2,No,No,Tote,Red,26.1806185,43.03091138
Adidas,Nylon,Large,7,No,Yes,Messenger,Blue,24.12678294,120.5453736
Adidas,Nylon,Large,2,No,Yes,Backpack,Green,25.76416227,132.4836826
Adidas,Polyester,Medium,8,No,Yes,Messenger,Black,19.69221368,72.96957298
Adidas,Leather,Large,2,Yes,No,Backpack,Red,9.404117644,15.81466079
Adidas,Canvas,Medium,9,No,Yes,Messenger,Pink,10.09584656,102.3700684
Adidas,Nylon,Medium,1,Yes,Yes,Backpack,Black,16.71106279,78.95006832
Adidas,Nylon,Small,5,No,No,Tote,Green,21.82933525,65.28989432
Adidas,Nylon,Medium,10,No,Yes,Messenger,Black,17.17340093,32.30797575
Adidas,Leather,Medium,2,Yes,Yes,Backpack,Green,6.977882668,67.61028166
Adidas,Leather,Large,9,No,Yes,Backpack,Green,12.43797556,83.68547514
Adidas,Canvas,Small,4,No,Yes,Backpack,Gray,25.92161767,85.21547285
Adidas,Canvas,Small,9,Yes,No,Messenger,Red,18.20212404,99.5301604
Adidas,Polyester,Small,5,No,No,Messenger,Green,12.07400599,71.0175712
Adidas,Polyester,Large,2,No,No,Tote,Red,9.908043718,66.86955558
Adidas,Nylon,Small,6,Yes,Yes,Messenger,Green,5.751673868,110.7944297
Adidas,Polyester,Medium,5,No,Yes,Tote,Green,27.14444683,109.2549763
Adidas,Canvas,Small,6,No,Yes,Tote,Pink,5.47176169,131.0908483
Adidas,Leather,Small,8,No,Yes,Tote,Red,27.84086818,25.63470073
Adidas,Leather,Medium,6,No,Yes,Backpack,Pink,30,148.0470514
Adidas,Polyester,Large,3,Yes,No,Backpack,Pink,17.18188965,117.5515887
Adidas,Canvas,Large,8,No,Yes,Messenger,Gray,7.119419285,150
Adidas,Leather,Large,7,Yes,No,Messenger,Pink,23.81558346,141.6033241
Adidas,Nylon,Large,7,No,No,Tote,Gray,19.45326667,142.9017554
Adidas,Leather,Large,9,No,No,Messenger,Red,20.56255144,56.29632666
Adidas,Nylon,Medium,8,No,No,Messenger,Green,22.62362017,144.614134
Adidas,Polyester,Large,1,No,Yes,Backpack,Gray,12.73663796,102.1312078
Adidas,Canvas,Medium,6,No,Yes,Backpack,Red,18.74216802,41.03030977
Adidas,Polyester,Small,4,Yes,Yes,Tote,Red,19.87268296,66.95967639
Adidas,Leather,Small,9,Yes,No,Messenger,Red,21.00319791,92.88904302
Adidas,Nylon,Large,1,Yes,Yes,Backpack,Pink,8.937946089,141.2515505
Adidas,Polyester,Medium,10,No,Yes,Tote,Green,6.960394737,32.73995897
Adidas,Polyester,Large,6,Yes,Yes,Messenger,Green,22.28141793,133.0300461
Adidas,Canvas,Large,4,Yes,Yes,Messenger,Black,17.14487974,136.8640646
Adidas,Nylon,Medium,6,No,Yes,Messenger,Blue,26.75114826,123.2448332
Adidas,Nylon,Large,8,No,Yes,Backpack,Black,12.74793734,109.6256017
Adidas,Canvas,Small,6,Yes,Yes,Backpack,Gray,21.56938858,63.3293799
Adidas,Canvas,Large,5,No,No,Messenger,Black,23.77765396,142.5339892
Adidas,Nylon,Small,2,Yes,No,Tote,Green,25.98591934,57.59870707
Adidas,Nylon,Medium,4,Yes,No,Messenger,Black,21.64521705,150
Adidas,Canvas,Small,8,No,Yes,Backpack,Gray,8.015871984,23.83314575
Adidas,Leather,Large,10,Yes,No,Backpack,Green,23.26055478,149.723551
Adidas,Leather,Medium,1,No,No,Backpack,Red,24.63405779,150
Adidas,Leather,Small,1,Yes,No,Messenger,Gray,5.934739988,98.88040195
Adidas,Canvas,Large,6,No,No,Tote,Pink,17.39938198,44.04102454
Adidas,Canvas,Large,5,No,Yes,Messenger,Pink,13.01380679,92.91035234
Adidas,Polyester,Small,9,No,Yes,Backpack,Red,8.628231597,55.92555487
Adidas,Canvas,Small,10,Yes,Yes,Messenger,Blue,14.39210442,18.9407574
Adidas,Nylon,Medium,5,Yes,Yes,Tote,Blue,14.93094308,132.1771963
Adidas,Leather,Medium,10,Yes,No,Tote,Black,20.47103606,70.01865864
Adidas,Leather,Small,6,No,Yes,Messenger,Pink,9.178349375,97.31654662
Adidas,Canvas,Medium,1,Yes,No,Messenger,Green,13.03831929,33.97155908
Adidas,Polyester,Small,4,No,Yes,Messenger,Green,5,56.82705553
Adidas,Canvas,Small,8,No,No,Tote,Red,16.57935296,150
Adidas,Canvas,Large,3,No,Yes,Messenger,Black,28.15870593,115.8988309
Adidas,Canvas,Medium,7,Yes,No,Tote,Black,18.10452701,112.4920884
Adidas,Nylon,Medium,5,Yes,No,Tote,Red,8.050348097,91.74866746
Adidas,Polyester,Small,8,Yes,Yes,Backpack,Pink,15.78094985,57.20312361
Adidas,Polyester,Medium,1,No,Yes,Backpack,Green,10.0767815,94.55253011
Adidas,Nylon,Medium,2,Yes,No,Tote,Green,29.50081131,131.9019366
Adidas,Canvas,Large,5,Yes,Yes,Tote,Green,26.08345701,15
Adidas,Canvas,Small,7,Yes,No,Messenger,Pink,28.39360319,89.59558604
Adidas,Canvas,Medium,9,No,No,Backpack,Red,22.28945561,61.15487985
Adidas,Polyester,Medium,10,Yes,Yes,Messenger,Red,23.05821199,32.71417365
Adidas,Nylon,Small,10,No,No,Tote,Red,8.852737876,89.36444629
Adidas,Leather,Large,5,No,Yes,Backpack,Pink,12.64235108,56.98095954
Adidas,Leather,Medium,5,No,Yes,Messenger,Gray,22.15331553,36.94207921
Adidas,Polyester,Large,6,No,No,Messenger,Gray,12.02756694,94.8321516
Adidas,Canvas,Small,5,Yes,No,Messenger,Blue,16.02872931,40.1792235
Adidas,Leather,Medium,7,No,Yes,Messenger,Red,20.02989169,96.52069346
Adidas,Polyester,Large,10,Yes,No,Messenger,Blue,24.03105406,48.79190289
Adidas,Polyester,Medium,3,Yes,Yes,Backpack,Black,26.38966239,96.09009939
Adidas,Polyester,Large,9,No,No,Tote,Red,28.74827071,60.17177316
Adidas,Polyester,Medium,7,No,Yes,Messenger,Green,17.73858359,143.7638203
Adidas,Nylon,Medium,8,No,No,Messenger,Gray,6.728896469,53.40132043
Adidas,Nylon,Large,4,No,No,Tote,Pink,17.38667634,96.70675131
Adidas,Nylon,Large,9,No,Yes,Messenger,Red,22.62973376,93.80702308
Adidas,Leather,Medium,6,Yes,No,Messenger,Black,9.623990492,95.59450321
Adidas,Leather,Medium,5,Yes,No,Messenger,Pink,25.80795443,67.90896293
Adidas,Polyester,Small,5,No,Yes,Backpack,Black,17.27739597,137.042668
Adidas,Polyester,Medium,5,Yes,No,Tote,Red,8.412345398,100.8340394
Adidas,Leather,Medium,9,Yes,Yes,Messenger,Blue,23.62677777,75.35317166
Adidas,Leather,Large,4,No,No,Messenger,Red,15.6462227,40.68292277
Adidas,Nylon,Large,4,Yes,Yes,Tote,Gray,14.02748561,29.19714088
Adidas,Canvas,Medium,4,No,No,Backpack,Blue,16.27218867,75.36316045
Adidas,Nylon,Medium,10,Yes,No,Backpack,Green,12.85296667,22.50343875
Adidas,Leather,Large,8,No,Yes,Backpack,Red,20.06334533,46.88398329
Adidas,Nylon,Small,5,Yes,Yes,Messenger,Green,12.3947792,123.4308901
Adidas,Nylon,Medium,3,Yes,Yes,Backpack,Red,14.05359048,120.3720655
Adidas,Nylon,Medium,8,Yes,No,Backpack,Green,24.42232921,94.08796347
Adidas,Nylon,Medium,2,Yes,No,Messenger,Blue,15.35300173,86.98924518
Adidas,Nylon,Small,6,Yes,Yes,Tote,Pink,22.630906,18.41246137
Adidas,Canvas,Medium,10,Yes,No,Tote,Gray,20.88231593,65.35845865
Adidas,Polyester,Small,1,Yes,No,Backpack,Gray,24.41714952,112.3044559
Adidas,Nylon,Large,4,No,No,Backpack,Black,6.021430799,87.25266746
Adidas,Leather,Small,3,No,No,Tote,Green,5,73.88729802
Adidas,Canvas,Medium,1,No,Yes,Backpack,Gray,16.64928387,91.49806599
Adidas,Canvas,Small,1,Yes,Yes,Messenger,Black,24.72917192,100.9801632
Adidas,Leather,Medium,8,No,Yes,Messenger,Black,21.21828347,86.88676894
Adidas,Leather,Medium,4,Yes,Yes,Backpack,Black,16.11835434,74.29196652
Adidas,Polyester,Medium,10,Yes,Yes,Backpack,Gray,18.54130812,39.43925961
Adidas,Nylon,Large,8,No,No,Tote,Green,17.98498216,81.20834698
Adidas,Nylon,Medium,10,No,Yes,Tote,Red,16.5449755,77.48090977
Adidas,Polyester,Medium,6,No,No,Messenger,Red,15.10496885,119.7056161
Adidas,Canvas,Small,7,Yes,Yes,Messenger,Gray,30,25.16019606
Adidas,Nylon,Large,10,No,Yes,Backpack,Green,30,76.47866434
Adidas,Nylon,Small,5,Yes,No,Backpack,Pink,5,127.7971326
Adidas,Nylon,Large,7,No,No,Tote,Gray,28.08864728,20.55620591
Adidas,Polyester,Large,1,No,Yes,Backpack,Red,22.37363719,100.8101263
Adidas,Nylon,Large,10,Yes,No,Backpack,Red,16.65862711,82.09845889
Adidas,Canvas,Large,8,No,Yes,Backpack,Green,15.87729873,63.38679145
Adidas,Leather,Small,3,No,Yes,Backpack,Green,24.76785674,119.9921878
Adidas,Leather,Small,2,Yes,Yes,Messenger,Black,15.55950421,28.91243351
Adidas,Leather,Large,1,Yes,Yes,Messenger,Blue,6.684209815,41.93947739
Adidas,Canvas,Small,8,Yes,Yes,Messenger,Black,8.392132602,52.76282779
Adidas,Nylon,Large,7,Yes,Yes,Tote,Green,10.38736368,117.3890509
Adidas,Nylon,Small,6,Yes,No,Tote,Pink,25.10584662,23.08474232
Adidas,Nylon,Large,8,Yes,Yes,Tote,Blue,24.89271743,104.120582
Adidas,Polyester,Medium,4,Yes,No,Messenger,Pink,5,99.49642831
Adidas,Nylon,Medium,10,Yes,Yes,Messenger,Blue,8.571203897,75.96614043
Adidas,Leather,Medium,8,Yes,Yes,Tote,Red,5.746352474,85.66186098
Adidas,Leather,Medium,3,Yes,No,Backpack,Gray,25.87840853,94.21013953
Adidas,Nylon,Medium,10,Yes,Yes,Tote,Gray,20.30073906,128.431038
Adidas,Nylon,Medium,4,Yes,No,Backpack,Blue,8.273594308,118.8041497
Adidas,Polyester,Small,1,Yes,No,Tote,Black,12.15514078,135.5980248
Adidas,Polyester,Medium,6,No,No,Tote,Blue,10.94887761,54.25654635
Adidas,Leather,Medium,9,No,Yes,Messenger,Green,11.55929167,116.5016011
Adidas,Leather,Large,5,No,Yes,Tote,Red,27.21106243,21.96410484
Adidas,Canvas,Large,3,Yes,No,Backpack,Pink,14.50093073,79.08845067
Adidas,Nylon,Medium,3,Yes,No,Messenger,Blue,13.58745101,149.4825195
Adidas,Canvas,Large,3,Yes,No,Tote,Red,24.18176287,102.6962663
Adidas,Leather,Small,4,No,Yes,Messenger,Red,24.71044482,103.6403367
Adidas,Canvas,Small,4,Yes,Yes,Messenger,Green,12.82459557,104.5844071
Adidas,Canvas,Small,4,No,No,Tote,Pink,24.29643332,81.34927074
Adidas,Nylon,Medium,7,No,Yes,Messenger,Gray,7.063863184,58.11413435
Adidas,Nylon,Medium,4,Yes,Yes,Tote,Blue,5,119.1016564
Adidas,Nylon,Large,7,Yes,No,Messenger,Blue,26.66590907,109.5161924
Adidas,Leather,Medium,9,Yes,Yes,Messenger,Pink,13.07355242,76.85952003
Adidas,Nylon,Medium,8,Yes,No,Messenger,Green,11.45345074,105.5232092
Adidas,Canvas,Small,2,No,Yes,Tote,Gray,11.05848699,134.1868984
Adidas,Polyester,Large,2,No,No,Tote,Blue,5,18.13066514
Adidas,Canvas,Small,9,Yes,No,Tote,Red,9.702239267,73.9185078
Adidas,Polyester,Large,7,No,No,Backpack,Green,30,129.7063505
Adidas,Canvas,Large,10,No,Yes,Tote,Pink,5.136442874,45.58144377
Adidas,Leather,Large,4,Yes,Yes,Tote,Green,26.60534629,88.33943018
Adidas,Polyester,Small,3,Yes,No,Messenger,Blue,6.265073668,61.1009118
Adidas,Nylon,Large,8,No,No,Backpack,Black,12.26684308,33.86239342
Adidas,Nylon,Large,4,No,Yes,Tote,Green,18.74757795,83.49848621
Adidas,Canvas,Medium,6,Yes,No,Tote,Pink,28.99181436,55.4940544
Adidas,Nylon,Medium,5,No,No,Tote,Gray,24.05254333,27.4321544
Adidas,Polyester,Small,10,No,Yes,Tote,Gray,7.443145857,112.7291679
Adidas,Nylon,Medium,7,No,No,Tote,Gray,24.91820984,150
Adidas,Nylon,Large,1,Yes,No,Messenger,Blue,5,144.0849617
Adidas,Leather,Large,5,No,Yes,Backpack,Red,6.215083208,58.61016401
Adidas,Leather,Small,5,No,Yes,Tote,Red,8.531158026,126.0948247
Adidas,Nylon,Large,4,Yes,No,Backpack,Pink,8.180503993,109.2364778
Adidas,Canvas,Medium,8,Yes,Yes,Backpack,Red,12.42896372,33.84755902
Adidas,Leather,Medium,9,Yes,No,Tote,Pink,5.201111097,57.63215769
Adidas,Leather,Large,1,Yes,No,Tote,Green,15.57567583,146.7077021
Adidas,Polyester,Small,2,No,Yes,Messenger,Pink,22.10330444,105.1371617
Adidas,Nylon,Medium,2,Yes,No,Messenger,Gray,13.39954666,63.56662127
Adidas,Nylon,Small,10,Yes,Yes,Backpack,Pink,8.125326279,30.39581406
Adidas,Polyester,Large,10,No,No,Messenger,Pink,6.150515262,100.1358961
Adidas,Canvas,Large,4,Yes,No,Backpack,Pink,19.06294223,137.3810551
Adidas,Polyester,Large,4,Yes,No,Messenger,Black,24.25494677,41.15075862
Adidas,Leather,Medium,8,Yes,No,Backpack,Green,22.51306967,46.57676667
Adidas,Leather,Large,1,No,No,Tote,Black,13.0345701,109.8114149
Adidas,Leather,Small,3,No,Yes,Backpack,Black,5,99.3035543
Adidas,Leather,Small,4,No,No,Backpack,Pink,15.57285404,88.79569369
Adidas,Leather,Medium,5,Yes,Yes,Backpack,Black,15.11322496,21.10262892
Adidas,Canvas,Large,6,Yes,Yes,Backpack,Green,5,140.1434629
Adidas,Leather,Large,9,No,Yes,Backpack,Green,29.94134101,23.31308132
Adidas,Nylon,Large,1,No,Yes,Tote,Red,22.83050617,113.758435
Adidas,Polyester,Small,2,Yes,No,Messenger,Green,13.07399365,141.0783519
Adidas,Canvas,Small,4,No,Yes,Messenger,Green,22.95991544,128.70629
Adidas,Polyester,Large,7,Yes,No,Tote,Blue,29.09090433,48.70863893
Adidas,Nylon,Large,6,Yes,Yes,Tote,Red,10.24704369,36.51728955
Adidas,Canvas,Medium,2,Yes,Yes,Tote,Red,16.76483414,105.8607028
Adidas,Polyester,Medium,6,Yes,No,Tote,Red,10.73120988,106.7192634
Adidas,Polyester,Large,1,Yes,Yes,Tote,Red,8.740334996,88.5566887
Adidas,Leather,Small,1,No,Yes,Messenger,Red,21.21740916,37.52296804
Adidas,Nylon,Medium,9,Yes,Yes,Backpack,Black,9.545385052,75.09567799
Adidas,Leather,Small,1,Yes,Yes,Tote,Pink,8.126041559,96.26926966
Adidas,Canvas,Large,4,Yes,No,Messenger,Green,30,54.73856395
Adidas,Canvas,Small,2,Yes,No,Messenger,Pink,21.81978659,96.23672644
Adidas,Leather,Medium,8,Yes,No,Tote,Blue,30,47.73913563
Adidas,Canvas,Medium,1,Yes,No,Tote,Green,13.77290906,43.58749641
Adidas,Polyester,Medium,3,No,No,Messenger,Black,23.2675869,94.92833747
Adidas,Nylon,Small,8,Yes,No,Messenger,Pink,23.5420894,37.77602105
Adidas,Nylon,Medium,10,Yes,Yes,Backpack,Red,18.08836227,130.4748715
